Date,Route,Rating,Notes,Pitches,URL,Lat and long
2025-06-08,Steck-Salathe,5.10-,"Doubles blue totem to 2, single black totem, 3-5. No nuts.  Narrows only 4, 5, .5, slings next time. In the descent gully stay far right, once on the open slab between both streams head right and bushwhack  ",15,https://www.mountainproject.com/route/105862873/steck-salathe,"37.72958, -119.59381"
2025-05-24,Liquid Jesus,5.11c,,1,https://www.mountainproject.com/route/105901689/liquid-jesus,"35.85132, -118.27525"
2025-01-02,All's Well That Ends Well,5.11-,Ended on Poetry. ,5,https://www.mountainproject.com/route/106395387/alls-well-that-ends-well,"31.92707, -109.97864"
2025-01-01,Warpath,5.9- PG13,"Second bolt missing on p2, 1 #4 was enough, no nuts ",3,https://www.mountainproject.com/route/105876261/warpath,"31.9111, -110.0287"
2024-12-28,Coyote Tower,5.10c,,6,https://www.mountainproject.com/route/105809140/coyote-tower,"34.801, -111.75488"
2024-12-28,Oski,5.11c,"Right variation to p1 goes but hard, no nuts, single 3, 4 was good to have for p3",4,https://www.mountainproject.com/route/105808122/oski,"34.91227, -111.8774"
2024-12-27,Sandrailin',5.11-,"2x yellow totem, blue totem (1st/last pitch), .5, .75, no offset nuts",5,https://www.mountainproject.com/route/117767646/sandrailin,"34.91652, -111.87264"
2024-12-25,Dr. Rubo's Wild Ride,5.9+,"Can def rap with a single 60 into the notch, p3 traverse straight right don’t go up too soon, 3s for anchor",4,https://www.mountainproject.com/route/105789516/dr-rubos-wild-ride,"34.88502, -111.79434"
2024-12-24,Zephyr's Stairway,5.11-,"Wild last pitch, 1,2, 5, 4, .5",5,https://www.mountainproject.com/route/116242195/zephyrs-stairway,"34.89423, -111.75384"
2024-12-24,The Prow,5.11a,,2,https://www.mountainproject.com/route/105795099/the-prow,"35.13773, -112.02416"
2024-12-23,East of Eden,5.1,,2,https://www.mountainproject.com/route/105825623/east-of-eden,"35.13747, -112.02579"
2024-12-22,Cragaholic's Dream,5.10b/c,"3 4#s were used, could go without 5, no 6, no nuts, no triples.  There is a rap anchor left of the gully at the top. You rap to the bolt and sling.  Pull left and your ropes will pull clean. 90 minutes to the base at a slow pace.  Blue collar fun.  ",6,https://www.mountainproject.com/route/106109702/cragaholics-dream,"31.9299, -110.0095"
2024-11-30,Cold September Corner,5.8,,1,https://www.mountainproject.com/route/105732746/cold-september-corner,"36.145, -115.49403"
2024-11-30,Magellanic Cloud,5.9,,1,https://www.mountainproject.com/route/105732755/magellanic-cloud,"36.145, -115.49403"
2024-11-30,Mister Masters,5.9+,,1,https://www.mountainproject.com/route/105733163/mister-masters,"36.145, -115.49403"
2024-11-30,Spring Break,5.11+,,1,https://www.mountainproject.com/route/105732887/spring-break,"36.145, -115.49403"
2024-11-29,Western Swing,5.10.,,8,https://www.mountainproject.com/route/105733085/western-swing,"36.0192, -115.47011"
2024-11-28,Rose Hips,5.7+,,5,https://www.mountainproject.com/route/106121193/rose-hips,"36.11526, -115.48953"
2024-11-26,Dirty Deeds,5.12a,,1,https://www.mountainproject.com/route/111764666/dirty-deeds,"36.73445, -114.78819"
2024-11-26,Scherzo,5.12a,,1,https://www.mountainproject.com/route/116136679/scherzo,"36.7347, -114.78715"
2024-11-26,Badinerie,5.11c,,1,https://www.mountainproject.com/route/116136697/badinerie,"36.7347, -114.78715"
